,name,threshold,precision,recall,f-measure
0,bert,0.0,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
1,bert,0.05,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
2,bert,0.1,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
3,bert,0.15000000000000002,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
4,bert,0.2,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
5,bert,0.25,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
6,bert,0.30000000000000004,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
7,bert,0.35000000000000003,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
8,bert,0.4,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
9,bert,0.45,0.0008322929671244278,0.22857142857142856,0.0016585466984554785
10,bert,0.5,0.0008351602463722727,0.22857142857142856,0.0016642396505096733
11,bert,0.55,0.0008391901814748768,0.22857142857142856,0.0016722408026755853
12,bert,0.6000000000000001,0.000855431993156544,0.22857142857142856,0.001704484925961436
13,bert,0.65,0.0008888888888888889,0.22857142857142856,0.0017708909795240732
14,bert,0.7000000000000001,0.0008145217593670003,0.2,0.001622435971723259
15,bert,0.75,0.0007500937617202151,0.17142857142857143,0.0014936519790888722
16,bert,0.8,0.0008349568605622043,0.17142857142857143,0.0016618196925633569
17,bert,0.8500000000000001,0.0007944073721004131,0.14285714285714285,0.0015800284405119293
18,bert,0.9,0.0007729468599033816,0.11428571428571428,0.0015355086372360845
19,bert,0.9500000000000001,0.0011904761904761906,0.11428571428571428,0.0023564064801178206
20,soft_tf_idf,0.0,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
21,soft_tf_idf,0.05,0.004338394793926247,0.11428571428571428,0.008359456635318703
22,soft_tf_idf,0.1,0.004885993485342019,0.08571428571428572,0.009244992295839752
23,soft_tf_idf,0.15000000000000002,0.006711409395973154,0.08571428571428572,0.012448132780082987
24,soft_tf_idf,0.2,0.009836065573770493,0.08571428571428572,0.017647058823529415
25,soft_tf_idf,0.25,0.013574660633484163,0.08571428571428572,0.023437499999999997
26,soft_tf_idf,0.30000000000000004,0.011235955056179775,0.05714285714285714,0.0187793427230047
27,soft_tf_idf,0.35000000000000003,0.013888888888888888,0.05714285714285714,0.022346368715083796
28,soft_tf_idf,0.4,0.018018018018018018,0.05714285714285714,0.0273972602739726
29,soft_tf_idf,0.45,0.02247191011235955,0.05714285714285714,0.03225806451612904
30,soft_tf_idf,0.5,0.029411764705882353,0.05714285714285714,0.038834951456310676
31,soft_tf_idf,0.55,0.03125,0.05714285714285714,0.04040404040404041
32,soft_tf_idf,0.6000000000000001,0.03389830508474576,0.05714285714285714,0.0425531914893617
33,soft_tf_idf,0.65,0.038461538461538464,0.05714285714285714,0.04597701149425288
34,soft_tf_idf,0.7000000000000001,0.045454545454545456,0.05714285714285714,0.05063291139240506
35,soft_tf_idf,0.75,0.05714285714285714,0.05714285714285714,0.05714285714285714
36,soft_tf_idf,0.8,0.06896551724137931,0.05714285714285714,0.0625
37,soft_tf_idf,0.8500000000000001,0.08,0.05714285714285714,0.06666666666666667
38,soft_tf_idf,0.9,0.05555555555555555,0.02857142857142857,0.03773584905660377
39,soft_tf_idf,0.9500000000000001,0.09090909090909091,0.02857142857142857,0.043478260869565216
40,glove,0.0,0.0008456659619450317,0.22857142857142856,0.001685097419694576
41,glove,0.05,0.0008456659619450317,0.22857142857142856,0.001685097419694576
42,glove,0.1,0.0008456659619450317,0.22857142857142856,0.001685097419694576
43,glove,0.15000000000000002,0.0008456659619450317,0.22857142857142856,0.001685097419694576
44,glove,0.2,0.0008462026655383964,0.22857142857142856,0.0016861629254926757
45,glove,0.25,0.0008503401360544217,0.22857142857142856,0.0016943767870380175
46,glove,0.30000000000000004,0.000866738894907909,0.22857142857142856,0.0017269293038316245
47,glove,0.35000000000000003,0.0009007994595203243,0.22857142857142856,0.0017945266935845672
48,glove,0.4,0.000958428177788427,0.22857142857142856,0.00190885230255309
49,glove,0.45,0.00104629871828407,0.22857142857142856,0.0020830621012888945
50,glove,0.5,0.00119994000299985,0.22857142857142856,0.0023873470605789314
51,glove,0.55,0.0014814814814814814,0.22857142857142856,0.0029438822447102114
52,glove,0.6000000000000001,0.0017811704834605599,0.2,0.0035308953341740227
53,glove,0.65,0.0023847376788553257,0.17142857142857143,0.004704037632301058
54,glove,0.7000000000000001,0.0035310734463276836,0.14285714285714285,0.0068917987594762226
55,glove,0.75,0.007532956685499058,0.11428571428571428,0.014134275618374558
56,glove,0.8,0.016666666666666666,0.08571428571428572,0.027906976744186046
57,glove,0.8500000000000001,0.07407407407407407,0.05714285714285714,0.06451612903225806
58,glove,0.9,0.0,0.0,0.0
59,glove,0.9500000000000001,0.0,0.0,0.0
60,all-MiniLM-L6-v2,0.0,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
61,all-MiniLM-L6-v2,0.05,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
62,all-MiniLM-L6-v2,0.1,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
63,all-MiniLM-L6-v2,0.15000000000000002,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
64,all-MiniLM-L6-v2,0.2,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
65,all-MiniLM-L6-v2,0.25,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
66,all-MiniLM-L6-v2,0.30000000000000004,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
67,all-MiniLM-L6-v2,0.35000000000000003,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
68,all-MiniLM-L6-v2,0.4,0.0008306510227390718,0.22857142857142856,0.001655286571487689
69,all-MiniLM-L6-v2,0.45,0.0008368200836820083,0.22857142857142856,0.0016675351745700884
70,all-MiniLM-L6-v2,0.5,0.0008961577237593816,0.22857142857142856,0.0017853157777281854
71,all-MiniLM-L6-v2,0.55,0.0010755992624462201,0.2,0.0021396912731163078
72,all-MiniLM-L6-v2,0.6000000000000001,0.0016605778811026237,0.14285714285714285,0.0032829940906106366
73,all-MiniLM-L6-v2,0.65,0.005213764337851929,0.14285714285714285,0.01006036217303823
74,all-MiniLM-L6-v2,0.7000000000000001,0.012096774193548387,0.08571428571428572,0.021201413427561835
75,all-MiniLM-L6-v2,0.75,0.047619047619047616,0.02857142857142857,0.03571428571428571
76,all-MiniLM-L6-v2,0.8,0.0,0.0,0.0
77,all-MiniLM-L6-v2,0.8500000000000001,0.0,0.0,0.0
78,all-MiniLM-L6-v2,0.9,0.0,0.0,0.0
79,all-MiniLM-L6-v2,0.9500000000000001,0.0,0.0,0.0
80,jaccard,0.0,0.0008305647840531562,0.22857142857142856,0.0016551153408503154
81,jaccard,0.05,0.003908794788273616,0.17142857142857143,0.007643312101910828
82,jaccard,0.1,0.013745704467353952,0.11428571428571428,0.024539877300613498
83,jaccard,0.15000000000000002,0.05357142857142857,0.08571428571428572,0.06593406593406592
84,jaccard,0.2,0.038461538461538464,0.02857142857142857,0.03278688524590164
85,jaccard,0.25,0.1,0.02857142857142857,0.04444444444444444
86,jaccard,0.30000000000000004,0.0,0.0,0.0
87,jaccard,0.35000000000000003,0.0,0.0,0.0
88,jaccard,0.4,0.0,0.0,0.0
89,jaccard,0.45,0.0,0.0,0.0
90,jaccard,0.5,0.0,0.0,0.0
91,jaccard,0.55,0.0,0.0,0.0
92,jaccard,0.6000000000000001,0.0,0.0,0.0
93,jaccard,0.65,0.0,0.0,0.0
94,jaccard,0.7000000000000001,0.0,0.0,0.0
95,jaccard,0.75,0.0,0.0,0.0
96,jaccard,0.8,0.0,0.0,0.0
97,jaccard,0.8500000000000001,0.0,0.0,0.0
98,jaccard,0.9,0.0,0.0,0.0
99,jaccard,0.9500000000000001,0.0,0.0,0.0
